"year" "peopleScreened" "hat.cases" "P1" "P2" "pop"
2000 572724 2911 1896 1015 6053000
2001 642974 4524 3261 1263 6235000
2002 551564 3876 2725 1151 6422000
2003 719625 3179 2095 1084 6614000
2004 789323 2642 1840 802 6813000
2005 819124 2536 1898 638 7017000
2006 958295 2161 1605 556 7228000
2007 945192 1968 1484 484 7444000
2008 875469 2160 1688 472 7668000
2009 873325 2928 2487 441 7898000
2010 859379 1556 1286 270 8135000
2011 606968 1119 936 183 8443000
2012 784089 1929 1537 392 8695000
